妹,女未木
枚,木攵
味,口未木
命,亼人一叩口卩
明,日月
免,⺈儿
夜,亠亻夂丶
油,氵由十囗
林,木
例,亻列歹刂一夕
和,禾口
胃,田月
映,日央
栄,木⺍冖
屋,尸至一厶土
音,立日
科,禾斗
海,氵毎𠂉毋
界,田介人丿丨
皆,比白丿日
活,氵舌千口
巻,己
看,手目
紀,糸幺小已
客,宀各夂口
逆,⻌屰䒑屮
急,刍⺈彐心
級,糸幺小及ノ乃𠄎丿
挟,扌夹
狭,犬大丶夹
軍,冖車
係,亻系糸幺小
型,刑开刂一廾土
計,訁亖口十
建,廴聿肀二
研,石开一廾
県,𠃊目小
限,⻖艮
故,古十口攵
枯,木古十口
後,彳夂幺
厚,厂日子
皇,王白丿日
紅,糸幺小工
荒,艹巟亡川亠𠃊
郊,交亠父⻏
香,日禾
査,木且
砂,石少ノ小
昨,日乍丿
咲,口关丷天一大
姿,女次冫欠
思,心田
指,扌旨日匕
持,扌寺土寸
室,宀至一厶土
首,䒑自
拾,扌合亼口人一
秋,火八人禾
柔,木矛
重,里田土千
祝,礻兄儿口
春,日𡗗
昭,日召刀口
乗,丿
城,土成戊𠃌丿戈弋
食,人良丶艮
信,亻言
神,礻申
政,正一止攵
星,日生𠂉土
省,少ノ小目
宣,宀亘一旦日
専,叀寸
泉,水白丿日
浅,氵㦮
洗,氵先⺧儿
染,木氿氵九
前,䒑刖月刂
祖,礻且
奏,禾𡗗
相,木目
草,艹早日十
送,⻌关丷天一大
則,貝目八刂
待,彳寺土寸
退,⻌艮
単,⺍日十
炭,火八人厂山
段,殳几又
茶,艹𠆢木
昼,尺尸旦日一
柱,木主丶王
珍,𤣩㐱𠆢彡
追,辶𠂤丿㠯
点,占⺊口灬
度,广丶厂廿又
怒,奴女又心
逃,辶兆
独,犭虫
南,十冂丷干
派,氵𠂢
背,北丬匕肉内人冂
肺,肉内人冂巿一巾
畑,火八人田
発,癶二儿
飛,升十廾
美,𦍌丷王大
秒,禾少ノ小
品,口
負,⺈貝目八
封,圭土寸
風,𠘨䖝丿虫
変,亦夂
便,亻更曰囗一
保,亻呆口木
冒,日目
迷,辶米
約,糸幺小勺勹丶
勇,龴男田力
洋,氵羊
要,覀女
律,彳聿肀二
案,安宀女木
員,貝目八口
院,⻖完宀元二儿
益,皿ハ
桜,木⺍女
恩,心因口大
夏,夂頁一自八
家,宀豕
荷,艹何亻可丁口
華,艹
害,宀口丰
格,木各夂口
株,木朱丿未
記,訁亖口己
起,走土龰己
帰,刂帚彐冖巾
宮,宀呂口
挙,兴手
恐,工心凡几丶
胸,肉内人冂匈勹凶凵㐅
訓,訁亖口川
郡,君尹口⺕丿⻏
軒,車干
原,厂白丿日小
個,亻固囗古十口
庫,車广丶厂
悟,忄吾五口二
候,丨侯亻矢ユ𠂉大
校,木交亠父
耕,耒丿未木井二
航,舟亢亠几
降,⻖夅夂㐄
高,亠口冋冂
骨,冎肉内人冂
根,木艮
